nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;sizePron;hwd;pronSampa;ipa
3;ăʹdjĕctive;L.;;;n.;59.0;21;adjective;10;adjective;{ dZ i k t i v;æ?iktiv
2;adĭeuʹ;F.;;;p.;60.0;21;adieu;6;adieu;@ d u;ədu
2;ădjoiʹn;L.;;;v.;61.0;21;adjoin;7;adjoin;@ dZ OI n;ə??n
3;ădj_o_ŭʹrnment;F.;;;n.;62.0;21;adjournment;14;adjournment;@ dZ 3:r n m @ n t;ə?ɜ:rnmənt
2;ădjŭʹdge;L.;;;v.;63.0;21;adjudge;8;adjudge;@ dZ V dZ;ə?ʌ?
6;ădjūdĭcāʹtion;L.;;;n.;64.0;21;adjudication;13;adjudication;@ dZ u 4 @ k eI S @ n;ə?uɾək?ʃən
2;ăʹdjŭnct;L.;;;n.;65.0;21;adjunct;8;adjunct;{ dZ V N k t;æ?ʌŋkt
2;ădjŭʹſt;F.;;;v.;67.0;21;adjust;7;adjust;@ dZ V s t;ə?ʌst
3;ăʹdjūtant;L.;;;n.;68.0;21;adjutant;9;adjutant;{ dZ @ t @ n t;æ?ətənt
4;ădmĭʹnĭſt_e_r;L.;;;v.;69.0;21;administer;13;administer;@ d m I n @ s t 3:r;ədmɪnəstɜ:r
6;ădmĭnĭſtrātion;L.;nbSyll>1 et pas d'accent tonic;;n.;70.0;21;administration;14;administration;{ d m I n i s t r\ eI S @ n;ædmɪnistɹ?ʃən
5;ădmĭnĭſtrāʹtor;;;;n.;71.0;21;administrator;14;administrator;@ d m I n @ s t r\ eI 4 3:r;ədmɪnəstɹ?ɾɜ:r
3;ăʹdmĭrăl;L.;;;n.;73.0;21;admiral;8;admiral;{ d m 3:r @ l;ædmɜ:rəl
4;ăʹdmĭrălty;;;;n.;2.0;22;admiralty;10;admiralty;{ d m 3:r @ l t i:;ædmɜ:rəltiː
5;ădmĭrāʹtion;L.;;;n.;3.0;22;admiration;11;admiration;{ d m 3:r eI S @ n;ædmɜ:r?ʃən
2;ădmīʹre;L.;;;v.;4.0;22;admire;7;admire;{ d m aI r\;ædm?ɹ
3;ădmĭʹttănce;L.;;;n.;5.0;22;admittance;11;admittance;@ d m I t @ n s;ədmɪtəns
2;ădmĭʹt;L.;;;v.;6.0;22;admit;6;admit;@ d m I t;ədmɪt
3;ădmŏʹnĭſh;L.;;;v.;7.0;22;admonish;9;admonish;{ d m A n i S;ædmɑniʃ
5;ădmŏnĭʹtion;L.;;;n.;8.0;22;admonition;11;admonition;{ d m @ n I S @ n;ædmənɪʃən
4;ădŏlĕʹſcĕnce;L.;;;n.;9.0;22;adolescence;12;adolescence;{ 4 @ l E s @ n s;æɾəlɛsəns
4;ădŏʹption;L.;;;n.;10.0;22;adoption;9;adoption;@ d A p S @ n;ədɑpʃən
4;ădōʹrable;;;;a.;11.0;22;adorable;9;adorable;@ d O: r\ @ b @ l;ədOːɹəbəl
2;ădōʹre;L.;;;v.;12.0;22;adore;6;adore;@ d O: r\;ədOːɹ
2;ădŏʹrn;L.;;;v.;13.0;22;adorn;6;adorn;@ d O: r\ n;ədOːɹn
2;ădroiʹt;F.;;;a.;14.0;22;adroit;7;adroit;@ d r\ OI t;ədɹ?t
2;ădvăʹnce;F.;;;v.;16.0;22;advance;8;advance;@ d v { n s;ədvæns
3;ădvăʹnc_e_ment;F.;;;n.;17.0;22;advancement;14;advancement;@ d v { n s m @ n t;ədvænsmənt
3;ădvăʹntage;F.;;;n.;18.0;22;advantage;10;advantage;{ d v { n t i dZ;ædvænti?
2;ăʹdvĕnt;L.;;;n.;19.0;22;advent;7;advent;{ d v E n t;ædvɛnt
3;ădvĕʹntŭre;F.;;;n.;21.0;22;adventure;10;adventure;{ d v E n tS 3:r;ædvɛn?ɜ:r
4;ădvĕʹntŭr_o_us;;;;a.;22.0;22;adventurous;14;adventurous;{ d v E n tS 3:r @ s;ædvɛn?ɜ:rəs
2;ăʹdverb;L.;;;n.;23.0;22;adverb;7;adverb;{ d v 3:r b;ædvɜ:rb
4;ăʹdvĕrſăry;L.;;;n.;24.0;22;adversary;10;adversary;{ d v 3:r s E r\ i:;ædvɜ:rsɛɹiː
2;ăʹdvĕrſe;L.;;;a.;25.0;22;adverse;8;adverse;{ d v 3:r s;ædvɜ:rs
4;ădvĕʹrſity;L.;;;n.;26.0;22;adversity;10;adversity;{ d v 3:r s i 4 i:;ædvɜ:rsiɾiː
3;ădvĕrtĭʹſe;L.;;;v.;29.0;22;advertise;10;advertise;{ d v 3:r t aI z;ædvɜ:rt?z
2;ădvīʹce;F.;;;n.;30.0;22;advice;7;advice;{ d v aI s;ædv?s
2;ădvīʹſe;;;;v.;31.0;22;advise;7;advise;{ d v aI z;ædv?z
5;ădūlāʹtion;L.;;;n.;32.0;22;adulation;10;adulation;{ dZ @ l eI S @ n;æ?əl?ʃən
2;adŭʹlt;L.;;;a.;34.0;22;adult;6;adult;@ d V l t;ədʌlt
4;adŭʹlte˘rāte;L.;;;v.;35.0;22;adulterate;12;adulterate;@ d V l t 3:r eI t;ədʌltɜ:r?t
4;adŭʹlte˘rer;;;;n.;36.0;22;adulterer;11;adulterer;@ d V l t 3:r 3:r;ədʌltɜ:rɜ:r
4;adŭʹlte˘ry;L.;;;n.;38.0;22;adultery;10;adultery;@ d V l t 3:r i:;ədʌltɜ:riː
3;ăʹdvŏcāte;L.;;;n.;39.0;22;advocate;9;advocate;{ d v @ k @ t;ædvəkət
4;āe˘ʹrĭal;G.;;;a.;46.0;22;aerial;8;aerial;E r\ i: @ l;ɛɹiːəl
2;ăffaiʹr;F.;;;n.;49.0;22;affair;7;affair;@ f E r\;əfɛɹ
2;affe˘ʹct;L.;;;v.;50.0;22;affect;8;affect;@ f E k t;əfɛkt
5;ăffĕctāʹtion;L.;;;n.;51.0;22;affectation;12;affectation;{ f E k t eI S @ n;æfɛkt?ʃən
3;ăffĕʹcted;;;;a.;52.0;22;affected;9;affected;@ f E k t @ d;əfɛktəd
4;ăffĕʹction;L.;;;n.;53.0;22;affection;10;affection;@ f E k S @ n;əfɛkʃən
5;ăffĕʹctionāte;;;;a.;54.0;22;affectionate;13;affectionate;@ f E k S @ n @ t;əfɛkʃənət
4;ăffĭdāʹvit;;;;n.;57.0;22;affidavit;10;affidavit;{ f @ d eI v @ t;æfəd?vət
4;ăffĭʹnĭʹty;L.;;;n.;58.0;22;affinity;10;affinity;@ f I n @ 4 i:;əfɪnəɾiː
2;ăffĭrm;L.;nbSyll>1 et pas d'accent tonic;;v.;59.0;22;affirm;6;affirm;@ f 3:r m;əfɜ:rm
5;ăffĭrmāʹtion;L.;;;n.;60.0;22;affirmation;12;affirmation;{ f 3:r m eI S @ n;æfɜ:rm?ʃən
4;ăffĭʹrmătive;L.;;;a.;61.0;22;affirmative;12;affirmative;@ f 3:r m @ 4 i v;əfɜ:rməɾiv
2;affĭʹx;L.;;;v.;62.0;22;affix;6;affix;{ f i k s;æfiks
2;ăfflĭʹct;L.;;;v.;64.0;22;afflict;8;afflict;@ f l I k t;əflɪkt
4;ăfflĭʹction;L.;;;n.;65.0;22;affliction;11;affliction;@ f l I k S @ n;əflɪkʃən
3;ăfflūĕnce;L.;nbSyll>1 et pas d'accent tonic;;n.;67.0;22;affluence;9;affluence;{ f l u @ n s;æfluəns
3;ăʹfflūĕnt;L.;;;a.;68.0;22;affluent;9;affluent;{ f l u @ n t;æfluənt
2;ăffoʹrd;;;;v.;70.0;22;afford;7;afford;@ f O: r\ d;əfOːɹd
3;ăʹfrĭcā;;;;n.;73.0;22;africa;7;africa;{ f r\ @ k @;æfɹəkə
2;ăffrŏʹnt;F.;;;v.;3.0;23;affront;8;affront;@ f r\ V n t;əfɹʌnt
1;ăft;;;;p.;6.0;23;aft;3;aft;{ f t;æft
2;ăʹft_e_r;;;;p.;7.0;23;after;8;after;{ f t 3:r;æftɜ:r
3;ăfternooʹn;;;;n.;8.0;23;afternoon;10;afternoon;{ f t 3:r n u n;æftɜ:rnun
2;āʹgā;;;;n.;9.0;23;aga;4;aga;A g @;ɑgə
2;ăʹgate;G.;;;n.;11.0;23;agate;6;agate;{ g @ t;ægət
1;āge;;;;n.;12.0;23;age;3;age;eI dZ;??
3;āʹge˘ncy;L.;;;n.;13.0;23;agency;8;agency;eI dZ @ n s i:;??ənsiː
2;āʹgent;L.;;;n.;14.0;23;agent;6;agent;eI dZ @ n t;??ənt
4;ăgglŏʹmĕrāte;L.;;;v.;15.0;23;agglomerate;12;agglomerate;@ g l A m 3:r eI t;əglɑmɜ:r?t
4;ăgglūʹtĭnāte;L.;;;v.;16.0;23;agglutinate;12;agglutinate;@ g l u t i n eI t;əglutin?t
3;ăʹggrăndīze;F.;;;v.;17.0;23;aggrandize;11;aggrandize;@ g r\ { n d aI z;əgɹænd?z
3;ăʹggrăvāte;L.;;;v.;18.0;23;aggravate;10;aggravate;{ g r\ @ v eI t;ægɹəv?t
5;ăggrăvāʹtion;L.;;;n.;19.0;23;aggravation;12;aggravation;{ g r\ @ v eI S @ n;ægɹəv?ʃən
3;ăʹggrĕgāte;L.;;;v.;20.0;23;aggregate;10;aggregate;{ g r\ @ g @ t;ægɹəgət
2;ăggrĕʹſs;L.;;;v.;21.0;23;aggress;8;aggress;@ g r\ E s;əgɹɛs
3;ăggrĕʹſſor;;;;n.;22.0;23;aggressor;10;aggressor;@ g r\ E s 3:r;əgɹɛsɜ:r
2;ăggrieʹve;;;;n.;23.0;23;aggrieve;9;aggrieve;@ g r\ i: v;əgɹiːv
2;ăʹgĭle;L.;;;a.;24.0;23;agile;6;agile;{ dZ @ l;æ?əl
4;ăgĭʹlĭty;L.;;;n.;25.0;23;agility;8;agility;@ dZ I l @ 4 i:;ə?ɪləɾiː
3;ăʹgĭtāte;L.;;;v.;28.0;23;agitate;8;agitate;{ dZ @ t eI t;æ?ət?t
5;ăgĭtāʹtion;L.;;;n.;29.0;23;agitation;10;agitation;{ dZ @ t eI S @ n;æ?ət?ʃən
4;ăgĭtāʹtor;L.;;;n.;30.0;23;agitator;9;agitator;{ dZ @ t eI 4 3:r;æ?ət?ɾɜ:r
3;ăʹgŏny;G.;;;n.;33.0;23;agony;6;agony;{ g @ n i:;ægəniː
2;ăgreeʹ;F.;;;v.;34.0;23;agree;6;agree;@ g r\ i:;əgɹiː
4;ăgreeʹable;F.;;;a.;35.0;23;agreeable;10;agreeable;@ g r\ i: @ b @ l;əgɹiːəbəl
3;ăgreeʹment;;;;n.;36.0;23;agreement;10;agreement;@ g r\ i: m @ n t;əgɹiːmənt
4;ăʹgrĭcŭltŭre;L.;;;n.;37.0;23;agriculture;12;agriculture;{ g r\ i k V l tS 3:r;ægɹikʌl?ɜ:r
1;aid;;;;v.;42.0;23;aid;3;aid;eI d;?d
1;ail;;;;v.;43.0;23;ail;3;ail;eI l;?l
1;aim;;;;v.;44.0;23;aim;3;aim;eI m;?m
1;air;;;;n.;45.0;23;air;3;air;E r\;ɛɹ
2;aiʹry;;;pas de {POS} indiquée dans le dictionnaire.;;47.0;23;airy;5;airy;E r\ i:;ɛɹiː
4;ălăbăʹſt_e_r;;;;n.;48.0;23;alabaster;12;alabaster;{ l @ b { s t 3:r;æləbæstɜ:r
4;alăʹcrĭty;;;;n.;49.0;23;alacrity;9;alacrity;@ l { k r\ @ 4 i:;əlækɹəɾiː
2;alăʹrm;F.;;;n.;51.0;23;alarm;6;alarm;@ l A r\ m;əlɑɹm
3;ăʹlbĭon;L.;;;n.;53.0;23;albion;7;albion;{ l b i: @ n;ælbiːən
2;ăʹlcōve;F.;;;n.;60.0;23;alcove;7;alcove;{ l k @U v;ælkoʊv
2;ăʹld_e_r;;;;n.;61.0;23;alder;8;alder;O: l d 3:r;Oːldɜ:r
3;ăʹldĕrmăn;;;;n.;62.0;23;alderman;9;alderman;O: l d 3:r m @ n;Oːldɜ:rmən
1;āle;;;;n.;63.0;23;ale;3;ale;eI l;?l
4;alexăʹndrĭne;;;;n.;69.0;23;alexandrine;12;alexandrine;{ l @ g z { n d r\ i: n;æləgzændɹiːn
3;ăʹlgĕbrā;;;;n.;71.0;23;algebra;8;algebra;{ l dZ @ b r\ @;æl?əbɹə
3;ăʹlgorĭthm;;;;n.;73.0;23;algorithm;10;algorithm;{ l g 3:r I D @ m;ælgɜ:rɪðəm
3;ăʹlĭas;L.;;;p.;3.0;24;alias;6;alias;eI l i: @ s;?liːəs
3;ăʹlĭen;L.;;;n.;4.0;24;alien;6;alien;eI l i: @ n;?liːən
4;ăʹlĭenāte;;;;v.;5.0;24;alienate;9;alienate;eI l j @ n eI t;?ljən?t
6;ălĭenāʹtion;;;;n.;6.0;24;alienation;11;alienation;eI l i: @ n eI S @ n;?liːən?ʃən
5;ălĭmĕʹntary;;;;a.;8.0;24;alimentary;11;alimentary;{ l @ m E n t 3:r i:;æləmɛntɜ:riː
4;ăʹlĭmŏny;;;;n.;9.0;24;alimony;8;alimony;{ l @ m @U n i:;æləmoʊniː
3;ăʹlkăhĕſt;;;;n.;13.0;24;alkahest;9;alkahest;{ l k @ h E s t;ælkəhɛst
2;ăllaʹy;F.;;;n.;15.0;24;allay;6;allay;@ l eI;əl?
5;ăllēgāʹtion;L.;;;n.;17.0;24;allegation;11;allegation;{ l @ g eI S @ n;æləg?ʃən
4;ăllĕʹgĭ_a_nce;L.;;;n.;18.0;24;allegiance;13;allegiance;@ l i: dZ @ n s;əliː?əns
5;ăllēgŏʹrical;G.;;;a.;19.0;24;allegorical;12;allegorical;{ l @ g O: r\ @ k @ l;æləgOːɹəkəl
4;ăʹllĕgŏry;G.;;;n.;21.0;24;allegory;9;allegory;{ l @ g O: r\ i:;æləgOːɹiː
3;ăllēʹgro;;;;n.;22.0;24;allegro;8;allegro;@ l E g r\ @U;əlɛgɹoʊ
4;ăllĕʹvĭāte;L.;;;v.;23.0;24;alleviate;10;alleviate;@ l i: v i: eI t;əliːviː?t
2;ăʹlley;F.;;;n.;24.0;24;alley;6;alley;{ l i:;æliː
3;ăllīʹance;F.;;;n.;25.0;24;alliance;9;alliance;@ l aI @ n s;əl?əns
2;ăllīʹ_e_s;F.;;;n.;26.0;24;allies;9;allies;{ l aI z;æl?z
4;ăllĭgāʹtor;;;;n.;28.0;24;alligator;10;alligator;{ l @ g eI 4 3:r;æləg?ɾɜ:r
2;allŏʹt;;;;v.;31.0;24;allot;6;allot;@ l A t;əlɑt
2;allȯẇ;F.;nbSyll>1 et pas d'accent tonic;;v.;32.0;24;allow;5;allow;@ l aU;əl?
3;allȯẇănce;;nbSyll>1 et pas d'accent tonic;;n.;33.0;24;allowance;9;allowance;@ l aU @ n s;əl?əns
2;allūʹde;L.;;;v.;34.0;24;allude;7;allude;@ l u d;əlud
2;ăʹllŭm;;;;n.;35.0;24;allum;6;allum;{ l @ m;æləm
2;allūre;;nbSyll>1 et pas d'accent tonic;;v.;37.0;24;allure;6;allure;@ l U r\;əlʊɹ
4;allūʹſion;L.;;;n.;39.0;24;allusion;9;allusion;@ l u Z @ n;əluʒən
3;ăʹlmănăc;;;;n.;40.0;24;almanac;8;almanac;O: l m @ n { k;Oːlmənæk
2;ăʹlmŏnd;;;;n.;41.0;24;almond;7;almond;A m @ n d;ɑmənd
1;alms;;;;n.;43.0;24;alms;4;alms;A l m z;ɑlmz
2;alŏʹft;;;;p.;45.0;24;aloft;6;aloft;@ l O: f t;əlOːft
2;alooʹf;;;;p.;46.0;24;aloof;6;aloof;@ l u f;əluf
